ID,Name,Industry,Inception,Employees,State,City,Revenue,Expenses,Profit,Growth
1,Over-Hex,Software,-1.2680051592312216,-0.6768316018316358,TN,Franklin,-0.3865933159627741,-1.5114595409802913,0.5112566943908833,0.6354641343908891
2,Unimattax,IT Services,-0.3441154444798612,-0.5448712155461167,PA,Newtown Square,0.987395234005049,-1.6665704472532148,1.7238118445149448,0.7819137846012143
3,Greenfax,Retail,0.5797742702714992,-0.6408424055719488,SC,Greenville,-0.3670096110508432,-1.5524493898591432,0.5497961524647179,0.1961151837599137
4,Blacklane,IT Services,0.27181103202104573,-0.1849792529492465,CA,Orange,1.4133002972825375,0.15097761892169578,1.0770332214164033,0.6354641343908891
5,Yearflex,Software,0.8877375085219527,-0.4369036267670557,WI,Madison,-0.7407515122158398,0.028961534394016556,-0.623755462772207,0.6354641343908891
6,Indigoplanet,IT Services,0.8877375085219527,-0.25695764546862054,NJ,Manalapan,0.6032726529783213,0.14835037497328352,0.41374330229685935,1.0748130850218645
7,Treslam,Financial Services,-0.3441154444798612,0.414840684712204,MO,Clayton,-1.7494942125771065,-1.03791745642429,-0.8667474356661273,0.34256483397023885
8,Rednimdox,Construction,0.8877375085219527,-0.10100446167664343,NY,Woodside,-0.5862421225625525,0.09556665564609208,-0.533470529039948,-0.6825827175020371
9,Lamtone,IT Services,-0.3441154444798612,-0.3169396392347656,CA,San Ramon,0.2707401066080022,1.0297282792934215,-0.34226827917307867,2.2464102867044655
10,Stripfind,Financial Services,-0.036152206229407756,-0.6768316018316358,FL,Boca Raton,0.4522737086398814,-1.6131898644445206,1.2554164880348468,0.7819137846012143
11,Canecorporation,Health,0.5797742702714992,-0.904763178142987,NY,New York,-0.09718076068787683,1.5561856115651396,-0.9327710166231021,-1.1219316681330125
12,Mattouch,IT Services,0.8877375085219527,-0.904763178142987,WA,Bellevue,0.9906909547555531,1.4793521400703842,0.0020814013126068827,1.6606116858631652
13,Techdrill,Health,-0.3441154444798612,-0.8687739818833,MS,Flowood,-0.10448171304624977,1.4821944827913667,-0.898204191416026,-0.9754820179226874
